Lake_Name,Sample_Month,Count,Bag_Weight_g,Total_Weight_g,Mussel_Weight_g
Cazenovia_A,June,1,NA,NA,0.13
Owasco,June,41,1.77,2.2,0.43
Song,June,46,1.76,3.26,1.5
Song,July,33,1.75,3.88,2.13
UpperLittleYorkLake_A,July,177,1.79,8.95,7.16
Cazenova_B,August,1,NA,NA,0.29
Silver,August,199,1.77,21.77,20
EatonBrook,September,161,1.76,15.72,13.96
Honeoye,September,124,1.77,13.85,12.08
Song,October,62,1.77,14.46,12.69
UpperLittleYorkLake_A,October,233,1.79,20.07,18.28
