"","SAMPLE_MONTH","Mean","Median","Min","Max","SD"
"1","June",8.55638733705773,8.17,1.88,16.84,3.11146969143761
"2","July",9.32309409888357,9,2.23,18.19,3.21924901385028
"3","August",9.38465025906736,9.905,0.86,18.52,3.61555936575906
"4","September",7.70774597495528,7.085,0.99,18.59,4.15478780455232
"5","October",8.86851293103448,8.865,1.06,20.38,4.26857219488974
