"","LAKE","Mean","Median","Min","Max","SD"
"1","Cazenovia_A",4.66205405405405,4.17,1.31,13.09,2.47246776417578
"2","Cazenovia_B",4.42518867924528,3.99,1.3,16.89,2.25829790836028
"3","EatonBrook",8.54697705802969,8.38,0.99,20.38,4.02215059937685
"4","Honeoye",9.49964006259781,10.06,0.86,17.51,3.83002423059164
"5","Owasco",7.22026086956522,6.7,0.86,16.57,3.75591143053294
"6","Silver",10.5708490566038,10.665,1.11,18.52,3.55980589250255
"7","Song",10.4750545454545,10.73,1.06,18.59,2.91984180789736
"8","UpperLittleYork_A",8.59703966005666,8.485,1.93,16.56,2.62381329147022
